Id,ACC_Graduated_Status__c,SoldDate__c,AOV_Band__c
0013000001FoPLQAA3,,1/31/14,$10k-50k
0013000001CE11zAAD,,1/15/14,$10k-50k
0013000001CE1OVAA1,,2/14/14,$10k-50k
0013000001CE1abAAD,,1/9/14,$10k-50k
0013000001FoPQGAA3,,2/6/14,$10k-50k
0013000001FiSZKAA3,Failed,12/21/13,$10k-50k
0013000001CDy2dAAD,,2/2/14,$10k-50k
0013000001CE0u5AAD,,2/3/14,$10k-50k
0013000001FiqotAAB,,12/31/13,$10k-50k
0013000001CE0AgAAL,,2/14/14,$10k-50k
0013000001CE0IzAAL,,2/14/14,$10k-50k
0013000001CE0IQAA1,,2/13/14,$10k-50k
0013000001FiqnMAAR,,1/15/14,$10k-50k
0013000001FoQesAAF,,1/2/14,$10k-50k
0013000001FoPnZAAV,,1/28/14,$10k-50k
0013000001FjA8TAAV,,1/24/14,$10k-50k
0013000001Fa12HAAR,,1/31/14,$10k-50k
0013000001FakjnAAB,,2/14/14,$10k-50k
0013000001Fj0ntAAB,,2/18/14,$10k-50k
0013000001Fj0YUAAZ,,2/7/14,$10k-50k
0013000001Fj0n0AAB,,1/10/14,$10k-50k
0013000001FalcRAAR,,1/27/14,$10k-50k
0013000001FiyPeAAJ,,2/15/14,$10k-50k
0013000001Fj4QBAAZ,,1/21/14,$10k-50k
0013000001Fj3PlAAJ,,2/15/14,$10k-50k
0013000001Fj4RKAAZ,,1/20/14,$10k-50k
0013000001FbQsbAAF,,1/31/14,$10k-50k
0013000001FbUnAAAV,,2/14/14,$10k-50k
0013000001FbUs5AAF,,2/14/14,$10k-50k
0013000001FanWrAAJ,,1/20/14,$10k-50k
0013000001FbHeoAAF,,2/14/14,$50k-100k
0013000001FbB0lAAF,,2/13/14,$10k-50k
0013000001FbVAOAA3,,2/13/14,$50k-100k
0013000001FjSINAA3,,1/28/14,$10k-50k
0013000001FjSIXAA3,,1/31/14,$10k-50k
0013000001Fp5IUAAZ,,2/21/14,$10k-50k
0013000001FbCHLAA3,,1/16/14,$50k-100k
0013000001FjAYUAA3,,1/23/14,$10k-50k
0013000001FbS81AAF,,2/14/14,$10k-50k
0013000001FicmlAAB,,12/31/13,$10k-50k
0013000001FiavwAAB,,12/30/13,$10k-50k
0013000001FoRejAAF,Failed,12/17/13,$10k-50k
0013000001FZqTYAA1,,2/14/14,$10k-50k
0013000001FoRFCAA3,,12/22/13,$50k-100k
0013000001FiqxCAAR,,12/26/13,$10k-50k
0013000001FiqxbAAB,,12/26/13,$10k-50k
0013000001FoTqBAAV,,12/20/13,$10k-50k
0013000001FoSWZAA3,,1/31/14,$10k-50k
0013000001FijG0AAJ,Failed,12/21/13,$10k-50k
0013000001FoTi2AAF,,1/15/14,$10k-50k
0013000001FifbkAAB,,1/16/14,$10k-50k
0013000001FoRCXAA3,,1/31/14,$10k-50k
0013000001Fif9sAAB,,12/18/13,$10k-50k
0013000001Fie1QAAR,,1/15/14,$10k-50k
0013000001FoTs2AAF,,1/15/14,$50k-100k
0013000001Fiq3QAAR,,1/17/14,$10k-50k
0013000001Fiq10AAB,,1/16/14,$10k-50k
0013000001FoT8EAAV,,1/14/14,$10k-50k
